Gene	signal_to_noise_ratio
RFLNB	-0.4214568271430402
H3P32	-0.4211569895935427
NDUFB6	-0.42089753849417433
COLEC12	-0.4207390178769472
RPL29P33	-0.4202441523168075
CCNT2-AS1	-0.4201749065340306
MRPL41	-0.41990285525323295
ARHGEF3	-0.41985963364282863
ZCCHC12	-0.4194901433504728
PCDH12	-0.41941707201999967
RPL6P9	-0.4188180991384152
CMC2	-0.4186244878667209
PPARGC1A	-0.41797521363017576
UQCRC2	-0.4174334827852744
MICOS10P2	-0.41730455560566015
ST8SIA4	-0.41703429296380157
RNU6-678P	-0.416919323834656
HMGN1P7	-0.41638883499511564
SUB1P1	-0.41598697420364195
COX6B1	-0.415811549928001
LINC02587	-0.4156142482346453
ABRACL	-0.41550315709239327
SLC4A7	-0.41538280619199813
RSPO3	-0.4143184253726195
TARID	-0.4138716681522257
UQCRQ	-0.41356588888606455
SDHB	-0.4134132727793214
NDUFB4	-0.4130445579286931
MRPL35	-0.4129346025836826
MRPS36	-0.4129241630333541
SNX18P24	-0.412767646782222
RPL12P12	-0.41263081774933247
SPRY4	-0.4117695427020198
RPS15AP14	-0.41132040128579017
SUCLA2	-0.41090709728107755
RNU7-174P	-0.41073614609407905
C9orf135	-0.41072117296345706
MIR181B2	-0.4104053302112441
COQ3	-0.4101984064754624
COL9A1	-0.40980549172008757
DMAC1	-0.40965713806081466
MIR618	-0.4095474602581621
GOLGA6L3	-0.4093325860030099
DNPH1	-0.4092493656900866
NDUFB2	-0.40917172367953275
MKRN3	-0.4091029958280016
PSMC1P9	-0.4088787998438598
RNY3P12	-0.40872041859357017
CD93	-0.40867229011151907
LINC00888	-0.4086260614949973
LINC02867	-0.40835559427456375
NNT-AS1	-0.4077573892621623
ATP5PD	-0.40708592168645574
SH2D2A	-0.40650416476964446
MASP1	-0.40638844446299166
LINC00524	-0.40626296721186556
ATP5MGP2	-0.4061703577802274
MRPS36P1	-0.4061361248723022
PCBD1	-0.40610712664883747
HIC1	-0.4060277905031829
HSPE1P4	-0.40596944295921306
PAQR8	-0.4058330906908721
HES6	-0.4056910790906032
LINC02277	-0.4052294925483909
PGP	-0.40513536190410765
SEC22B4P	-0.40505717687762804
RPL32P13	-0.4050037695011667
NDUFV1	-0.404828376966782
PRDX5	-0.4047236423283708
LEF1-AS1	-0.40443782918383525
CCL2	-0.4042015490294752
RPP25L	-0.4040109638709205
MTIF2	-0.4040041207391491
GABARAP	-0.40384368322916214
TMEM132A	-0.4036637080062494
FAM136A	-0.40347969247620463
PHACTR2	-0.4033875159200226
AGBL1-AS1	-0.40307050489732466
CEMIP2	-0.40301540897851607
ZFP92	-0.40293248207295373
CISD1	-0.40272780304071926
TRBC2	-0.40267222992869794
MRPS9	-0.40225448154133414
RN7SL441P	-0.4014979751669218
CTAGE12P	-0.4006219805199979
NDUFS5	-0.40061455038723454
TPI1P1	-0.4006026401125115
GJA4	-0.40030400672897937
CDK6	-0.40025078091555294
SLCO2B1	-0.400123794605271
C2orf74	-0.40012031286065647
KRT18P68	-0.39994483328297126
DHRS4	-0.399758386809841
TPI1	-0.3997423346205177
NDUFA4P1	-0.39974090797825973
JAM2	-0.3997182442607041
OR7E31P	-0.39960684879535147
SCGB1D2	-0.3995837504040606
NDUFV2P1	-0.39935976514368854
COX5B	-0.3992009387231706
DPH2	-0.39913793046597995
NAGS	-0.3991364461160497
SCN7A	-0.398979701503576
ECSIT	-0.3988191909763352
P2RY8	-0.3986398873692145
EP300-AS1	-0.39838435540957134
SLC25A51P2	-0.3983464348377462
LILRA4	-0.398251242784864
SNX18P8	-0.39790245831772436
TRBV24-1	-0.39781036209309123
DDIT3	-0.3976203068575985
COQ5	-0.39757134901198704
GUCY1A2	-0.39746000870166615
ADAMTSL3	-0.3972321640075324
RPL23AP15	-0.39700271178970764
MBL2	-0.3969571827772889
PYROXD2	-0.3967347337498864
ISCA1P1	-0.3966239918229444
DNAJC25	-0.3959605091124637
FNBP1L	-0.39585493116225856
NCEH1	-0.3956707508358767
TNFRSF4	-0.3955671488647817
LINGO1-AS2	-0.3955578420489312
MDH1	-0.3954171798425178
IMMT	-0.3951166042605083
MRPS18B	-0.39504340723628445
TBXT	-0.39503349455056413
CHCHD3	-0.39475667371303574
AC002480.1	-0.3940916895559721
MIR345	-0.39391809215848617
CIDEB	-0.39390206629426233
SERPINA5	-0.39337361535413384
PCCA-DT	-0.3933525654279215
BANF1P1	-0.3930689041692717
HIF1A-AS1	-0.39295276179127303
PTPN20	-0.39138512464279
NDUFA1	-0.3911302113805044
PAX5	-0.39077702638124817
CXCR4	-0.3906027376407743
MPC1	-0.3904942961259701
PITPNM1	-0.3901421692368472
NDUFS2	-0.38983484357279585
AC036176.1	-0.3897302428018312
TCL1A	-0.3896896157466382
CCDC58P1	-0.3892782257467159
MIR6888	-0.3887559314120846
MRPL12	-0.38851549900629107
OR7E97P	-0.38831879475783787
STPG2	-0.3880586767944447
MT-ND6	-0.3879461588443498
VDAC2	-0.38786537350007777
RXRG	-0.3877289811648191
MRPS33	-0.3874645330734987
ESRRAP2	-0.38673735025667083
ALDH7A1P4	-0.3867095240497664
DBI	-0.38645854342499936
SLC2A11	-0.38606999101595224
NDUFA12	-0.3860076850040928
MYL3	-0.3853743825159535
RNU6-418P	-0.3853357947576615
KLF4P1	-0.38499040793522776
AC007743.1	-0.3847417379058279
FAM241A	-0.3844576949328516
GSTK1	-0.3843563392604787
NAMPT	-0.38434032913879923
PRDX2	-0.38428545633834016
SUCLA2P3	-0.3837653753144007
MSC-AS1	-0.38369590484429705
RN7SL398P	-0.38347949347090143
HSPE1P2	-0.383431848617478
AL023755.1	-0.38323594573796754
FRMPD1	-0.3828273279388033
E2F6P4	-0.3823595514036549
FH	-0.3823546948669996
EFCC1	-0.38222106394742184
ITGA1	-0.3821788819050476
PLA2G10	-0.38212086993342675
EFNB2	-0.38208890371204834
MCUR1	-0.38175782685148807
IVNS1ABP	-0.381671391978764
LINC01836	-0.38153705862966014
NRADDP	-0.3814355743568614
TRIL	-0.3814243606294514
ICAM3	-0.3813906955490343
AC004596.1	-0.38132606882490605
DYRK3	-0.3812754254982103
TIMM8A	-0.38126488363196415
COX4I1	-0.3811046248144847
MT-CO2	-0.3809749145480996
ITGA6	-0.38077545137161906
FAM43A	-0.3806562788864508
PIGHP1	-0.3804238101730459
ARHGAP42P4	-0.38033831989361966
SEL1L3	-0.3802091241990412
PPP1R16B	-0.38013912061069793
NREP	-0.3800893633471421
PRADC1	-0.3799793435654442
LMO1	-0.3794766347635024
TRIM50	-0.3793211380505285
LIX1L-AS1	-0.37924726676476195
NNT	-0.3789316679052891
TEKT4	-0.37880050433931584
TECRL	-0.37879645035624937
CTBP2P9	-0.37873191532601175
SCIMP	-0.37872239889043685
MIR218-1	-0.3775722335616465
TRPM2-AS	-0.3775270062254984
C3orf62	-0.37743332156640647
C2orf88	-0.3773599185560533
AC008074.2	-0.37640934290011757
HAS3	-0.37636430268388554
NDUFB9	-0.3762542735323369
GPRIN3	-0.3758551793879941
UQCR11	-0.3755744322142468
SLC13A2	-0.37557158469172663
FAM210A	-0.37541750935469914
STXBP6	-0.375066913808174
ATP5PB	-0.37492908873833014
TPT1P3	-0.3747609319326616
GNPTAB	-0.3744053053210816
SLC25A24P2	-0.3742553862723375
MARS2	-0.3741682139988504
GHITM	-0.37397803448055345
NRP1	-0.37378196242656603
AL646090.1	-0.37369152662271465
BUB1B	-0.3736667648812218
NDUFAF4P4	-0.37365350749452003
MRPS18CP7	-0.3735916024406489
LINC01952	-0.37350935396584367
HSPE1	-0.3734846621282819
SNORD112	-0.3730847882395174
ZNF169	-0.37303852018844397
GKN2	-0.3728902608763522
SMCO1	-0.37274849415614186
FAM104B	-0.37271249347973484
LINC01429	-0.372650814174216
KRT87P	-0.3725339663615298
CHIC1	-0.3723721121972352
NTMT1	-0.3723097324326311
RHPN2	-0.3722978844097741
HCCS	-0.3720290999456657
MAP6D1	-0.37201098084274653
SLC6A10P	-0.37195843677524365
PLBD1-AS1	-0.371903590316272
MIR6793	-0.3714620955733787
SETSIP	-0.3714495395672505
MTARC2	-0.3713636887942809
PPTC7	-0.3711926488360091
TARS1	-0.371088984590572
BMF-AS1	-0.37080042802293656
TIMMDC1	-0.3707378958718231
MMP11	-0.3705947032537762
EFL1P1	-0.3705174144104551
PPP1R3C	-0.3704267041252278
PSMB10	-0.37038698589709307
IFTAP	-0.3700984737608329
CADM1	-0.369378051325688
MTFR1L	-0.3692990733730845
PARP3	-0.3692420476510372
ATP5F1E	-0.369098899393352
HSPD1P7	-0.3690409999260079
SLC9A9-AS2	-0.36902382375469445
TCEAL8	-0.36885565103736107
SHCBP1L	-0.36884665055976024
PTGR1	-0.36865264010835264
MIR410	-0.3683882393301262
TRUB1	-0.3682485323441577
AC022217.2	-0.3678627732884953
LHB	-0.36756562845319113
C20orf144	-0.36741375262512027
RNU6-1217P	-0.36728612763873725
ATP5PDP4	-0.36673136442864934
LINC01460	-0.36664543440382014
MTLN	-0.3664215944804415
B3GAT1	-0.36634952178969293
VTI1BP1	-0.3658479749813373
PSIP1P1	-0.3656760404557882
RFTN1	-0.3655710319530381
RPL3P5	-0.36556106088068524
SIDT1	-0.3651847754763658
CLNK	-0.36513375037530915
TRIM31-AS1	-0.3648525375869484
NDUFS7	-0.36475160013884905
INKA2-AS1	-0.36445250104842447
LINC01428	-0.36422894173530546
TMEM150C	-0.3640842737710617
LGALS9B	-0.36389865205634286
PDHX	-0.3638960549429138
LINC01018	-0.3634702189939087
LINC01921	-0.36341514744612363
PTGDR2	-0.3630660118038179
SEC61G-DT	-0.3629787804753113
ITGA4	-0.362460462635843
CYCSP45	-0.36228668704102235
UTS2R	-0.3622655187413288
EIF3K	-0.36216916734828114
CHAC2	-0.3621486935272534
BTF3P9	-0.3620102081836075
BCKDHA	-0.3619048450065802
NUTM2HP	-0.3615529581194877
IKZF1	-0.3613004890533865
LYRM7	-0.3610980573980343
NDUFS6	-0.36093577818844336
MT-TP	-0.3607799667895146
CCDC70	-0.3606063914645369
LYPLA2P1	-0.36033908895666933
ACADM	-0.3603089532486917
MIR511	-0.36016787300142844
CH17-340M24.3	-0.360146897158095
DOK7	-0.36005776578402576
SAMM50	-0.36001221415573337
IDO1	-0.3599796208841948
FAM210B	-0.3595489892412852
COA6	-0.35945436943696096
NEURL2	-0.35944280195506634
GAB3	-0.3592608497521947
NT5C3AP1	-0.3591873686973565
C2CD4A	-0.35914353204879645
UQCC2	-0.35907340333984966
RASAL3	-0.3590552088265378
CA8	-0.3589635239573278
VDAC2P5	-0.3586450643462845
HSPA8P9	-0.3582693535534167
TCTEX1D1	-0.35798059695693896
RET	-0.3577719475550213
EVA1B	-0.3577401690089862
APOBEC3D	-0.35751767202042706
NDUFAF1	-0.35742329554605334
UBE2D3P2	-0.35741240360394066
NDUFB5	-0.3570482087544771
SNORD114-17	-0.3567493144602522
HNRNPA1P38	-0.3566885913934894
PKD1L1	-0.35667829719390126
TMEM88	-0.356642985568266
FXYD6	-0.3565727934975647
NDUFA5	-0.3564849179597884
SH2B3	-0.35640128119712317
SOX17	-0.3562256053014942
OR2A1	-0.3562157027291424
UQCRFS1P1	-0.35616297688292425
HMGN1P35	-0.35614882129058745
AC008972.2	-0.35601558813921846
LINC00681	-0.35575448579545804
HOXB7	-0.35525339203663076
EMILIN3	-0.3549504107030241
MIR4423	-0.3548200063541477
ALAS1	-0.3546922463691722
FUT1	-0.3545122485084969
PDSS1	-0.35427634680391074
FER1L6-AS2	-0.3542195012213381
BOLA3	-0.35400799496731067
TMEM14DP	-0.3539265870896087
RABEP2	-0.35364556463231445
HNRNPA1P12	-0.3534338881767531
TRBV26	-0.35319317795746313
NPLP1	-0.3529356040219005
HLA-DPB2	-0.3528257719918006
EXOC3L1	-0.35235646525711545
JCAD	-0.352238012117899
GPAT2P1	-0.35202694896898984
NAMPTP1	-0.3519369946788677
IL27RA	-0.35169261583785527
MYCT1	-0.35158642533429046
LINC00602	-0.3515625770557917
FAM209B	-0.3515000770916088
FAM174A	-0.35139963533037183
HSFY1	-0.35126142341494415
PM20D1	-0.35114701648150953
MYOG	-0.3508638663490589
LRRC8C	-0.3507959204994801
CXCL2	-0.3507363640262015
LGALS17A	-0.35068538152430523
CDH5	-0.3502559474624218
MIR7702	-0.3502237283817995
IGSF21	-0.35005824446257483
PAICSP2	-0.3499544927881331
KLRC4	-0.34993870786815434
NPY4R2	-0.3497581666344128
MYL6P3	-0.34926323794015435
HMGN3P1	-0.34920513938395126
CADM2	-0.34919988407342106
ADAD2	-0.34917791335676823
DUSP23	-0.3490745475889063
STRADB	-0.34892068755202715
RAB13	-0.34864379519327404
NUTM2G	-0.3486101394279292
H2AC16	-0.34853430842961897
MTND4LP3	-0.3484868292004809
TIMM23	-0.3483660235816971
MTRF1LP2	-0.34801808879594104
COMMD6	-0.34785380264957033
LAMB3	-0.3475310738779889
VDAC1P3	-0.3475303549069885
ME2	-0.34751153418979785
FAM124B	-0.3470836328467095
SLC13A5	-0.34691715176462684
CHCHD1	-0.34686947872462776
ARHGEF6	-0.34682582405941215
ANKRD20A18P	-0.34678851647668085
RNU7-95P	-0.34655172604163004
BCL6B	-0.3465323357237454
EMC6	-0.34640582943562
PANTR1	-0.3462994169468957
AC079160.1	-0.3460913811039832
RAD21-AS1	-0.3460544657109209
LSMEM2	-0.3457712394757384
IGHV3-73	-0.3457664604488083
SAMD14	-0.3457198456668582
CIBAR1	-0.34557488963197813
RNF207-AS1	-0.345547346586276
GSTZ1	-0.34540482065431405
SLC22A16	-0.3452509041407148
TIE1	-0.3451869113452214
TMEM64	-0.3449701905057634
LPAR6	-0.34495122783647375
PTRHD1	-0.3447554182377747
CARD11	-0.344691728111183
GRTP1-AS1	-0.344640852668534
S100A1	-0.3446259123051954
LINC02058	-0.34445667928000956
RN7SL116P	-0.3440980278769472
FAM30A	-0.3440157627796787
ARRDC3	-0.3440047537755721
TIMM17A	-0.3439217001693142
MT-CO1	-0.34370671404060366
COL15A1	-0.34360400312698464
CALHM5	-0.34355090608703576
LACTB	-0.3425899042399589
ISCA1P6	-0.34237633675974094
CDRT15P13	-0.34223115655321534
IDH3A	-0.3417968385396814
FCRLB	-0.34177810128003944
FCER1A	-0.3417272204888597
CD3G	-0.341576711892598
PGBD4P3	-0.34151830286113355
LINC01397	-0.34142627714987245
LOXHD1	-0.34123788669269134
PRF1	-0.341216531940487
NANOGP11	-0.3410196215712333
RGN	-0.34094177841619006
DBIP1	-0.34089589746899984
LINC00904	-0.3407678934727527
CHCHD2P9	-0.3405617837264133
SPATA13	-0.3404798685801241
TCEAL6	-0.3404701562584876
EIF4BP9	-0.34046961412835314
C3orf56	-0.340459416413065
TMEM156	-0.3401108449987985
SIPA1	-0.34000966487468376
TMEM211	-0.3399656968515663
RGS3	-0.339962444837666
OR7E122P	-0.3398873080686186
OR7E22P	-0.33986410289358127
PKMP4	-0.33959444041780595
SLC41A1	-0.33897151591233105
COL9A2	-0.3389582672623015
CLEC10A	-0.33879107720823953
PLGRKT	-0.3385470253871232
RN7SL823P	-0.3384930681286599
HVCN1	-0.33822093776207773
ETFDH	-0.33809542981618634
MAP1LC3A	-0.33739512407830774
HYLS1	-0.33739061479532845
ABCC4	-0.33738044742367335
MIR6868	-0.337324726645613
ADGRG5	-0.33725165115416456
ATP5MF	-0.33718652438362745
DLD	-0.33718638698339065
RNU6-36P	-0.3371570969239974
KREMEN2	-0.3371154020384285
LINC01447	-0.33707211104344736
DUSP6	-0.337006259593994
DLX1	-0.3368580161234553
FAM162A	-0.3366896063662321
PPP1R3B	-0.3365974274483468
ASIC4-AS1	-0.3364759168068466
SPAG7	-0.33625993144869937
AL031666.2	-0.33620677118507947
VDAC1P2	-0.33617557670755094
NARS1	-0.3361383123919756
RNU6-957P	-0.33610042289579106
PDGFB	-0.3356910319396098
SERTAD1	-0.33562118612724773
SYCP2L	-0.3355597859270871
ENPP7	-0.3352409958846255
PRDM14	-0.3350594725469196
RNU6-954P	-0.33491851623609065
ISOC2	-0.33484772545645947
MEF2C-AS1	-0.3348339394059529
GPHB5	-0.3345800254889836
TSPEAR-AS1	-0.3343255890058495
ATP5F1EP2	-0.33418745271076383
RTN4IP1	-0.33416347856705964
SERP2	-0.33414269223520054
ID3	-0.33402619149407997
PTPRK-AS1	-0.3339448832391946
MOB4P2	-0.33387186559101045
PTPN7	-0.33352721679513725
RPL38P3	-0.33349082187828155
ZMYND19P1	-0.33348466587637193
SHISA4	-0.3333978899617673
UNC93B7	-0.33323576682829487
HYAL1	-0.3331835356856699
ILRUN-AS1	-0.3331393824515592
KLRC3	-0.33305186618493043
HCP5	-0.3330141525877736
CDCA4P4	-0.3330041320017803
ZNF962P	-0.3328839247704951
NDUFB11	-0.332867744988734
HMGA1P1	-0.33279822012267185
AF111167.2	-0.33273375715679676
AGAP2	-0.33270708166587804
NUDT6	-0.33251293632983203
RNU7-60P	-0.33250692309848384
DACH1	-0.3324632391465249
WDR45P1	-0.33240625637964916
HTR1DP1	-0.33237254447343234
CTBP2P5	-0.3322874259206149
RNU6-293P	-0.33198902768757865
DNAJA1P3	-0.3319616252445758
SNRPCP5	-0.3319442870811249
PHBP3	-0.33181670043084643
TMX2P1	-0.33175846509757945
ARMC4P1	-0.33170260449302613
NDUFAF4	-0.3315786956170403
CHCHD2P8	-0.33141866672001086
HLA-A	-0.3311726071158828
DNAJC19P9	-0.3311101754922737
ANKRD20A19P	-0.33093027156117377
DLG2-AS2	-0.3309016010814171
MAP10	-0.3306358493079805
LINC01562	-0.33063239698331315
AC129492.1	-0.33060912258270275
C4orf45	-0.3304335318413852
OR52L1	-0.3303476320002758
NAXE	-0.3301473604437158
H4P1	-0.33003649986456485
PPIAP19	-0.3300035022993889
PPIAP82	-0.32994689135693406
HBEGF	-0.3299041314093378
RNU6-891P	-0.3298834880215445
CBX3P1	-0.3297969184513972
NCOR1P2	-0.3297278418575929
RNU6-1152P	-0.3295410016897087
LINC01149	-0.3293594029338995
PPP1R2P10	-0.32934339454306893
HMOX2	-0.32916067840417373
NDUFA2	-0.3290532934024473
PLEKHJ1	-0.329048272246791
RPL5P28	-0.32904576542336467
GLIDR	-0.32897479885380304
NOS1	-0.3289596804779868
NDN	-0.3288591618676722
ATP5F1AP3	-0.3288287656699713
NYAP2	-0.32863452097422063
MRPS33P2	-0.3285919393218015
SPN	-0.32851046697974673
GASK1B	-0.32845350645888605
GNG5P3	-0.32841732738599855
MTAPP2	-0.328340214789345
MARCKSL1P2	-0.32827875087388797
EFNA1	-0.3280368422614077
ARHGAP4	-0.32799947494769566
NUDT16L1	-0.327979094068164
KRT19P4	-0.32792988699046116
TNNT1	-0.32782700884945126
CDC37L1	-0.3275768316362333
CFL1P3	-0.3275592814095552
SCAANT1	-0.3275553015499309
VEGFC	-0.32748514423647174
KLHL10	-0.3272837727823307
PGAM2	-0.32724879928345785
LINC00671	-0.3272094677001667
YRDCP2	-0.3272001704208792
ETFRF1	-0.3271919571162915
BAG1	-0.3271783319922765
