	S2N	p-val	FDR
HSPC111	2.2102856636047363	4.988526389304599e-07	4.7393364928909945e-05
RPP40	2.2058420181274414	4.988526389304599e-07	4.7393364928909945e-05
SLC19A1	2.1948494911193848	4.988526389304599e-07	4.7393364928909945e-05
NLE1	2.1922779083251953	4.988526389304599e-07	4.7393364928909945e-05
AGPAT5	2.172783374786377	4.988526389304599e-07	4.7393364928909945e-05
MGC16597	2.167879104614258	4.988526389304599e-07	4.7393364928909945e-05
TFB2M	2.1435627937316895	4.988526389304599e-07	4.7393364928909945e-05
OPRS1	2.136519193649292	4.988526389304599e-07	4.7393364928909945e-05
PNPT1	2.1191704273223877	4.988526389304599e-07	4.7393364928909945e-05
PMM2	2.1095340251922607	4.988526389304599e-07	4.7393364928909945e-05
LOC646762	2.1080970764160156	4.988526389304599e-07	4.7393364928909945e-05
FBXO41	2.0957634449005127	4.988526389304599e-07	4.7393364928909945e-05
PA2G4	2.0893373489379883	4.988526389304599e-07	4.7393364928909945e-05
PTRH2	2.0799593925476074	4.988526389304599e-07	4.7393364928909945e-05
WDR74	2.0718369483947754	4.988526389304599e-07	4.7393364928909945e-05
KIAA0020	2.064793109893799	4.988526389304599e-07	4.7393364928909945e-05
DUSP2	2.056729555130005	4.988526389304599e-07	4.7393364928909945e-05
GNL3	2.0510787963867188	4.988526389304599e-07	4.7393364928909945e-05
PCOLCE2	2.045431613922119	4.988526389304599e-07	4.7393364928909945e-05
PUS7	2.044053792953491	4.988526389304599e-07	4.7393364928909945e-05
CDK4	2.0415585041046143	4.988526389304599e-07	4.7393364928909945e-05
ALG3	2.0226850509643555	4.988526389304599e-07	4.7393364928909945e-05
FLJ32549	2.021275043487549	4.988526389304599e-07	4.7393364928909945e-05
TAF4B	2.020946741104126	4.988526389304599e-07	4.7393364928909945e-05
JTV1	2.0208899974823	4.988526389304599e-07	4.7393364928909945e-05
DDX10	2.0197625160217285	4.988526389304599e-07	4.7393364928909945e-05
HSPD1	2.0197534561157227	4.988526389304599e-07	4.7393364928909945e-05
DDX18	2.0187861919403076	4.988526389304599e-07	4.7393364928909945e-05
SUPV3L1	2.012878894805908	4.988526389304599e-07	4.7393364928909945e-05
NPM1	2.011188268661499	4.988526389304599e-07	4.7393364928909945e-05
ATIC	2.009094715118408	4.988526389304599e-07	4.7393364928909945e-05
PAICS	2.003070592880249	4.988526389304599e-07	4.7393364928909945e-05
PEO1	1.9924461841583252	4.988526389304599e-07	4.7393364928909945e-05
DHODH	1.9917041063308716	4.988526389304599e-07	4.7393364928909945e-05
C16ORF14	1.9890165328979492	4.988526389304599e-07	4.7393364928909945e-05
IGFBP5	1.9874472618103027	4.988526389304599e-07	4.7393364928909945e-05
HS6ST2	1.9837069511413574	4.988526389304599e-07	4.7393364928909945e-05
CD3EAP	1.9686846733093262	4.988526389304599e-07	4.7393364928909945e-05
C1ORF51	1.9576116800308228	4.988526389304599e-07	4.7393364928909945e-05
FLAD1	1.9560725688934326	4.988526389304599e-07	4.7393364928909945e-05
SLC29A2	1.9454481601715088	4.988526389304599e-07	4.7393364928909945e-05
KIAA1553	1.9401344060897827	4.988526389304599e-07	4.7393364928909945e-05
EDNRA	1.9325734376907349	4.988526389304599e-07	4.7393364928909945e-05
FAM100A	1.9310916662216187	4.988526389304599e-07	4.7393364928909945e-05
BOP1	1.9266573190689087	4.988526389304599e-07	4.7393364928909945e-05
C1ORF33	1.921459436416626	4.988526389304599e-07	4.7393364928909945e-05
PCYOX1L	1.9204373359680176	4.988526389304599e-07	4.7393364928909945e-05
ALG1	1.9202150106430054	4.988526389304599e-07	4.7393364928909945e-05
C19ORF48	1.9196592569351196	4.988526389304599e-07	4.7393364928909945e-05
DPH1	1.9171983003616333	4.988526389304599e-07	4.7393364928909945e-05
UTP14A	1.9073150157928467	4.988526389304599e-07	4.7393364928909945e-05
HSPA1A	1.9045343399047852	4.988526389304599e-07	4.7393364928909945e-05
STX5	1.8932089805603027	4.988526389304599e-07	4.7393364928909945e-05
ALDH1B1	1.8897106647491455	4.988526389304599e-07	4.7393364928909945e-05
ABCC4	1.885277509689331	4.988526389304599e-07	4.7393364928909945e-05
TTLL12	1.8823254108428955	4.988526389304599e-07	4.7393364928909945e-05
TRAP1	1.8648673295974731	4.988526389304599e-07	4.7393364928909945e-05
SNORA9	1.8613369464874268	4.988526389304599e-07	4.7393364928909945e-05
WDR3	1.8609607219696045	4.988526389304599e-07	4.7393364928909945e-05
GPD1L	1.854995608329773	4.988526389304599e-07	4.7393364928909945e-05
SC65	1.8547369241714478	4.988526389304599e-07	4.7393364928909945e-05
ALKBH2	1.8448714017868042	4.988526389304599e-07	4.7393364928909945e-05
STEAP3	1.8427413702011108	4.988526389304599e-07	4.7393364928909945e-05
ZCD1	1.8393702507019043	4.988526389304599e-07	4.7393364928909945e-05
MON1A	1.8366650342941284	4.988526389304599e-07	4.7393364928909945e-05
C12ORF24	1.8332815170288086	4.988526389304599e-07	4.7393364928909945e-05
TMEM5	1.8306692838668823	4.988526389304599e-07	4.7393364928909945e-05
SLC25A26	1.8252885341644287	4.988526389304599e-07	4.7393364928909945e-05
PLA2G4A	1.8152984380722046	4.988526389304599e-07	4.7393364928909945e-05
SLC25A19	1.8005720376968384	4.988526389304599e-07	4.7393364928909945e-05
C4ORF9	1.796547293663025	4.988526389304599e-07	4.7393364928909945e-05
TYW3	1.7956442832946777	4.988526389304599e-07	4.7393364928909945e-05
MRPL12	1.7954866886138916	4.988526389304599e-07	4.7393364928909945e-05
FKBP4	1.794894814491272	4.988526389304599e-07	4.7393364928909945e-05
QTRT1	1.7899078130722046	4.988526389304599e-07	4.7393364928909945e-05
HSPA1B	1.7898790836334229	4.988526389304599e-07	4.7393364928909945e-05
AHSA1	1.7865046262741089	4.988526389304599e-07	4.7393364928909945e-05
JPH1	1.7809523344039917	4.988526389304599e-07	4.7393364928909945e-05
SLC1A3	1.7785040140151978	4.988526389304599e-07	4.7393364928909945e-05
PRMT1	1.7752822637557983	4.988526389304599e-07	4.7393364928909945e-05
SOX12	1.7735494375228882	4.988526389304599e-07	4.7393364928909945e-05
SRPRB	1.7726502418518066	4.988526389304599e-07	4.7393364928909945e-05
EMR2	1.7637379169464111	4.988526389304599e-07	4.7393364928909945e-05
PYCR1	1.7550201416015625	4.988526389304599e-07	4.7393364928909945e-05
TALDO1	1.7534924745559692	4.988526389304599e-07	4.7393364928909945e-05
SLC39A11	1.7456039190292358	4.988526389304599e-07	4.7393364928909945e-05
C10ORF61	1.7426137924194336	4.988526389304599e-07	4.7393364928909945e-05
ARIH2	1.739373803138733	4.988526389304599e-07	4.7393364928909945e-05
PRR5	1.738076090812683	4.988526389304599e-07	4.7393364928909945e-05
DDX56	1.7365128993988037	4.988526389304599e-07	4.7393364928909945e-05
DDX21	1.7352415323257446	4.988526389304599e-07	4.7393364928909945e-05
ASS1	1.7340915203094482	4.988526389304599e-07	4.7393364928909945e-05
MYBBP1A	1.727877140045166	4.988526389304599e-07	4.7393364928909945e-05
CHCHD8	1.7176542282104492	4.988526389304599e-07	4.7393364928909945e-05
BXDC1	1.716359257698059	4.988526389304599e-07	4.7393364928909945e-05
LOC153364	1.7161167860031128	4.988526389304599e-07	4.7393364928909945e-05
STC2	1.7125074863433838	4.988526389304599e-07	4.7393364928909945e-05
HEATR2	1.7109730243682861	4.988526389304599e-07	4.7393364928909945e-05
ADSL	1.7105242013931274	4.988526389304599e-07	4.7393364928909945e-05
KIAA0690	1.707648754119873	4.988526389304599e-07	4.7393364928909945e-05
MXI1	1.7037320137023926	4.988526389304599e-07	4.7393364928909945e-05
COASY	1.7019760608673096	4.988526389304599e-07	4.7393364928909945e-05
LOC152217	1.7002286911010742	4.988526389304599e-07	4.7393364928909945e-05
PUS1	1.6986961364746094	4.988526389304599e-07	4.7393364928909945e-05
MNT	1.6974841356277466	4.988526389304599e-07	4.7393364928909945e-05
KATNB1	1.6945523023605347	4.988526389304599e-07	4.7393364928909945e-05
GMDS	1.6921296119689941	4.988526389304599e-07	4.7393364928909945e-05
UMPS	1.6848008632659912	4.988526389304599e-07	4.7393364928909945e-05
CABC1	1.6759611368179321	4.988526389304599e-07	4.7393364928909945e-05
NAT10	1.6758050918579102	4.988526389304599e-07	4.7393364928909945e-05
APEX1	1.6657636165618896	4.988526389304599e-07	4.7393364928909945e-05
SCARB1	1.6648969650268555	4.988526389304599e-07	4.7393364928909945e-05
WDR36	1.6613351106643677	4.988526389304599e-07	4.7393364928909945e-05
NME1	1.653242588043213	4.988526389304599e-07	4.7393364928909945e-05
FEM1A	1.6508516073226929	4.988526389304599e-07	4.7393364928909945e-05
PPAT	1.6467348337173462	4.988526389304599e-07	4.7393364928909945e-05
XTP3TPA	1.6426504850387573	4.988526389304599e-07	4.7393364928909945e-05
NUFIP1	1.642231822013855	4.988526389304599e-07	4.7393364928909945e-05
EARS2	1.6403639316558838	4.988526389304599e-07	4.7393364928909945e-05
AMPD2	1.6352496147155762	4.988526389304599e-07	4.7393364928909945e-05
TOP1MT	1.633648157119751	4.988526389304599e-07	4.7393364928909945e-05
AKAP1	1.633434772491455	4.988526389304599e-07	4.7393364928909945e-05
SLC38A5	1.6199665069580078	4.988526389304599e-07	4.7393364928909945e-05
CAD	1.6198674440383911	4.988526389304599e-07	4.7393364928909945e-05
MTERFD1	1.6096272468566895	4.988526389304599e-07	4.7393364928909945e-05
CHCHD4	1.6093281507492065	4.988526389304599e-07	4.7393364928909945e-05
LRP16	1.6093026399612427	4.988526389304599e-07	4.7393364928909945e-05
MCM3	1.6062297821044922	4.988526389304599e-07	4.7393364928909945e-05
C3ORF26	1.603779911994934	4.988526389304599e-07	4.7393364928909945e-05
EGR1	1.6027467250823975	4.988526389304599e-07	4.7393364928909945e-05
RANBP1	1.6019848585128784	4.988526389304599e-07	4.7393364928909945e-05
C1ORF2	1.6001660823822021	4.988526389304599e-07	4.7393364928909945e-05
PAK1IP1	1.5975255966186523	4.988526389304599e-07	4.7393364928909945e-05
SLC27A2	1.5960133075714111	4.988526389304599e-07	4.7393364928909945e-05
INTS10	1.5930336713790894	4.988526389304599e-07	4.7393364928909945e-05
ZNF593	1.589874505996704	4.988526389304599e-07	4.7393364928909945e-05
NOL10	1.5840924978256226	4.988526389304599e-07	4.7393364928909945e-05
MGC4562	1.5817822217941284	4.988526389304599e-07	4.7393364928909945e-05
METTL8	1.5808802843093872	4.988526389304599e-07	4.7393364928909945e-05
DNPEP	1.5728422403335571	4.988526389304599e-07	4.7393364928909945e-05
DFFA	1.56549072265625	4.988526389304599e-07	4.7393364928909945e-05
IL17D	1.5641793012619019	4.988526389304599e-07	4.7393364928909945e-05
PARVB	1.5635634660720825	4.988526389304599e-07	4.7393364928909945e-05
AATF	1.5625884532928467	4.988526389304599e-07	4.7393364928909945e-05
RBM13	1.561477541923523	4.988526389304599e-07	4.7393364928909945e-05
HSPBAP1	1.553688406944275	4.988526389304599e-07	4.7393364928909945e-05
TUFM	1.5468555688858032	4.988526389304599e-07	4.7393364928909945e-05
ZNF420	1.546057105064392	4.988526389304599e-07	4.7393364928909945e-05
DHX33	1.5448477268218994	4.988526389304599e-07	4.7393364928909945e-05
POLR1E	1.544100284576416	4.988526389304599e-07	4.7393364928909945e-05
RPL22L1	1.5438798666000366	4.988526389304599e-07	4.7393364928909945e-05
LOC150223	1.5415019989013672	4.988526389304599e-07	4.7393364928909945e-05
SURF6	1.541113018989563	4.988526389304599e-07	4.7393364928909945e-05
MRPS12	1.5383121967315674	4.988526389304599e-07	4.7393364928909945e-05
CECR5	1.5333970785140991	4.988526389304599e-07	4.7393364928909945e-05
HSPA8	1.5319205522537231	4.988526389304599e-07	4.7393364928909945e-05
PHB	1.5286158323287964	4.988526389304599e-07	4.7393364928909945e-05
TATDN2	1.524806261062622	4.988526389304599e-07	4.7393364928909945e-05
REPIN1	1.520529866218567	4.988526389304599e-07	4.7393364928909945e-05
DLEU1	1.5200220346450806	4.988526389304599e-07	4.7393364928909945e-05
LOC93622	1.519736409187317	4.988526389304599e-07	4.7393364928909945e-05
DPH2	1.5193126201629639	4.988526389304599e-07	4.7393364928909945e-05
MRPS26	1.5159680843353271	4.988526389304599e-07	4.7393364928909945e-05
BZW2	1.513980746269226	4.988526389304599e-07	4.7393364928909945e-05
MGC16291	1.5136398077011108	4.988526389304599e-07	4.7393364928909945e-05
SUV39H2	1.5135908126831055	4.988526389304599e-07	4.7393364928909945e-05
NOC3L	1.5109317302703857	4.988526389304599e-07	4.7393364928909945e-05
GTF3A	1.5107123851776123	4.988526389304599e-07	4.7393364928909945e-05
MTHFD1	1.507226824760437	4.988526389304599e-07	4.7393364928909945e-05
EIF4EBP3	1.5020729303359985	9.977052778609198e-07	9.259259259259259e-05
AARSD1	1.4881683588027954	9.977052778609198e-07	9.259259259259259e-05
LHX6	1.4879908561706543	9.977052778609198e-07	9.259259259259259e-05
C12ORF45	1.4851471185684204	9.977052778609198e-07	9.259259259259259e-05
ALDH18A1	1.4847592115402222	9.977052778609198e-07	9.259259259259259e-05
POFUT1	1.4830893278121948	1.49655791679138e-06	0.00011450381679389314
SLC6A8	1.4814165830612183	1.49655791679138e-06	0.00011450381679389314
TMEM48	1.48087739944458	1.49655791679138e-06	0.00011450381679389314
GAL	1.4797382354736328	1.49655791679138e-06	0.00011450381679389314
SLC13A3	1.4754340648651123	1.49655791679138e-06	0.00011450381679389314
WDR43	1.4685832262039185	1.49655791679138e-06	0.00011450381679389314
HIG2	1.4681228399276733	1.49655791679138e-06	0.00011450381679389314
SLC25A38	1.467836856842041	1.49655791679138e-06	0.00011450381679389314
PNPO	1.4640952348709106	1.49655791679138e-06	0.00011450381679389314
B4GALT2	1.4577701091766357	1.49655791679138e-06	0.00011450381679389314
POLR3K	1.4565151929855347	1.49655791679138e-06	0.00011450381679389314
C1ORF163	1.456512212753296	1.49655791679138e-06	0.00011450381679389314
DCAL1	1.455213189125061	1.49655791679138e-06	0.00011450381679389314
RCL1	1.454461693763733	1.49655791679138e-06	0.00011450381679389314
MDN1	1.445289134979248	1.49655791679138e-06	0.00011450381679389314
PDRG1	1.4439646005630493	1.49655791679138e-06	0.00011450381679389314
GLS2	1.4411016702651978	1.49655791679138e-06	0.00011450381679389314
C3ORF21	1.4408798217773438	1.49655791679138e-06	0.00011450381679389314
SLC43A3	1.4403618574142456	1.49655791679138e-06	0.00011450381679389314
FTSJ3	1.4396814107894897	1.49655791679138e-06	0.00011450381679389314
HSPA9B	1.4391779899597168	1.49655791679138e-06	0.00011450381679389314
TRA16	1.4376189708709717	1.49655791679138e-06	0.00011450381679389314
PDCD2L	1.4371707439422607	1.49655791679138e-06	0.00011450381679389314
RRS1	1.4358313083648682	1.49655791679138e-06	0.00011450381679389314
HSP90AB1	1.435344934463501	1.49655791679138e-06	0.00011450381679389314
IFRD2	1.4340145587921143	1.49655791679138e-06	0.00011450381679389314
C9ORF123	1.4318971633911133	1.49655791679138e-06	0.00011450381679389314
LIAS	1.431477665901184	1.49655791679138e-06	0.00011450381679389314
RP13-15M17.2	1.43116295337677	1.49655791679138e-06	0.00011450381679389314
SLC39A4	1.4283381700515747	1.49655791679138e-06	0.00011450381679389314
TUSC4	1.4279805421829224	1.49655791679138e-06	0.00011450381679389314
POLR1C	1.4276278018951416	1.49655791679138e-06	0.00011450381679389314
ASB13	1.4270737171173096	1.49655791679138e-06	0.00011450381679389314
DDX20	1.4234589338302612	1.49655791679138e-06	0.00011450381679389314
GAS5	1.4229182004928589	1.49655791679138e-06	0.00011450381679389314
NPAL3	1.4227309226989746	1.49655791679138e-06	0.00011450381679389314
HMBS	1.418458104133606	1.49655791679138e-06	0.00011450381679389314
BCL7A	1.413724422454834	1.49655791679138e-06	0.00011450381679389314
CCDC59	1.411811351776123	1.49655791679138e-06	0.00011450381679389314
GNL2	1.4100266695022583	1.49655791679138e-06	0.00011450381679389314
PRPF4	1.409907579421997	1.49655791679138e-06	0.00011450381679389314
RP6-166C19.1	1.406065583229065	1.49655791679138e-06	0.00011450381679389314
SDCCAG3	1.4032593965530396	1.49655791679138e-06	0.00011450381679389314
DPP7	1.3983227014541626	1.49655791679138e-06	0.00011450381679389314
ATP5G1	1.3980902433395386	1.49655791679138e-06	0.00011450381679389314
THOC5	1.3959581851959229	1.49655791679138e-06	0.00011450381679389314
RPP14	1.3894277811050415	2.4942631946522997e-06	0.00017421602787456446
QSCN6L1	1.3880958557128906	2.4942631946522997e-06	0.00017421602787456446
LOC643287	1.3863905668258667	2.4942631946522997e-06	0.00017421602787456446
BYSL	1.3833450078964233	2.4942631946522997e-06	0.00017421602787456446
KIAA0507	1.3825831413269043	2.4942631946522997e-06	0.00017421602787456446
OAF	1.3821064233779907	2.4942631946522997e-06	0.00017421602787456446
LYAR	1.3803648948669434	2.4942631946522997e-06	0.00017421602787456446
PUS3	1.3786882162094116	2.4942631946522997e-06	0.00017421602787456446
LAS1L	1.3759455680847168	2.4942631946522997e-06	0.00017421602787456446
C14ORF156	1.3732075691223145	2.4942631946522997e-06	0.00017421602787456446
LOC388796	1.373075246810913	2.4942631946522997e-06	0.00017421602787456446
TIMM50	1.3729716539382935	2.4942631946522997e-06	0.00017421602787456446
KIAA1919	1.3727457523345947	2.4942631946522997e-06	0.00017421602787456446
GTF3C4	1.370760202407837	2.4942631946522997e-06	0.00017421602787456446
NHN1	1.370617151260376	2.4942631946522997e-06	0.00017421602787456446
NDUFA12L	1.3698365688323975	2.4942631946522997e-06	0.00017421602787456446
PPIL1	1.3670765161514282	2.4942631946522997e-06	0.00017421602787456446
PELP1	1.3661621809005737	2.4942631946522997e-06	0.00017421602787456446
MCOLN2	1.3651105165481567	2.4942631946522997e-06	0.00017421602787456446
FBXO17	1.3648782968521118	2.4942631946522997e-06	0.00017421602787456446
TXNDC14	1.364343285560608	2.4942631946522997e-06	0.00017421602787456446
ST6GALNAC4	1.364209771156311	2.4942631946522997e-06	0.00017421602787456446
KIAA0152	1.3641403913497925	2.4942631946522997e-06	0.00017421602787456446
CD320	1.3638712167739868	2.4942631946522997e-06	0.00017421602787456446
TFAP4	1.3584387302398682	2.4942631946522997e-06	0.00017421602787456446
DYRK4	1.356332540512085	2.99311583358276e-06	0.00020477815699658703
PDCD11	1.35529625415802	2.99311583358276e-06	0.00020477815699658703
DUSP23	1.3536648750305176	2.99311583358276e-06	0.00020477815699658703
ELP3	1.3519588708877563	2.99311583358276e-06	0.00020477815699658703
GPATC4	1.3507511615753174	2.99311583358276e-06	0.00020477815699658703
YRDC	1.3497604131698608	2.99311583358276e-06	0.00020477815699658703
CCT3	1.3459092378616333	3.4919684725132196e-06	0.00022801302931596093
ANKS6	1.3421921730041504	3.4919684725132196e-06	0.00022801302931596093
SNORA24	1.3415906429290771	3.4919684725132196e-06	0.00022801302931596093
NAGPA	1.341294765472412	3.4919684725132196e-06	0.00022801302931596093
FXN	1.337976336479187	3.4919684725132196e-06	0.00022801302931596093
MCAT	1.336806297302246	3.4919684725132196e-06	0.00022801302931596093
ZNF195	1.3362624645233154	3.4919684725132196e-06	0.00022801302931596093
FRAT2	1.3350400924682617	3.4919684725132196e-06	0.00022801302931596093
DPH5	1.3323253393173218	3.4919684725132196e-06	0.00022801302931596093
C22ORF16	1.3316009044647217	3.4919684725132196e-06	0.00022801302931596093
PDK1	1.329896092414856	3.4919684725132196e-06	0.00022801302931596093
LETM1	1.329023838043213	3.4919684725132196e-06	0.00022801302931596093
FAM98A	1.3284369707107544	3.4919684725132196e-06	0.00022801302931596093
TGIF2	1.3279125690460205	3.4919684725132196e-06	0.00022801302931596093
FLJ34077	1.3248186111450195	3.990821111443679e-06	0.0002588996763754045
EBNA1BP2	1.3239600658416748	3.990821111443679e-06	0.0002588996763754045
ANGEL1	1.3206292390823364	4.48967375037414e-06	0.0002670623145400594
TFRC	1.3189150094985962	4.48967375037414e-06	0.0002670623145400594
TTC27	1.3185137510299683	4.48967375037414e-06	0.0002670623145400594
RUVBL2	1.3184208869934082	4.48967375037414e-06	0.0002670623145400594
SLC16A7	1.3157066106796265	4.48967375037414e-06	0.0002670623145400594
DGAT2	1.3147306442260742	4.48967375037414e-06	0.0002670623145400594
XPO5	1.312353253364563	4.48967375037414e-06	0.0002670623145400594
LOC90624	1.3117649555206299	4.48967375037414e-06	0.0002670623145400594
MECR	1.3098962306976318	4.48967375037414e-06	0.0002670623145400594
SSB	1.309497594833374	4.48967375037414e-06	0.0002670623145400594
TBC1D4	1.3094241619110107	4.48967375037414e-06	0.0002670623145400594
RUVBL1	1.3087424039840698	4.48967375037414e-06	0.0002670623145400594
ELAC2	1.3081132173538208	4.48967375037414e-06	0.0002670623145400594
SHB	1.30643892288208	4.48967375037414e-06	0.0002670623145400594
EEF1E1	1.3037116527557373	4.48967375037414e-06	0.0002670623145400594
FBXW9	1.3036937713623047	4.48967375037414e-06	0.0002670623145400594
USP36	1.3031060695648193	4.48967375037414e-06	0.0002670623145400594
AK2	1.3019646406173706	4.48967375037414e-06	0.0002670623145400594
WDR35	1.2998454570770264	4.48967375037414e-06	0.0002670623145400594
PRR6	1.2991585731506348	4.48967375037414e-06	0.0002670623145400594
C6ORF48	1.2977145910263062	4.48967375037414e-06	0.0002670623145400594
SFRS8	1.2972675561904907	4.48967375037414e-06	0.0002670623145400594
UNG	1.2965028285980225	4.48967375037414e-06	0.0002670623145400594
PIGW	1.2963597774505615	4.48967375037414e-06	0.0002670623145400594
HYPK	1.2953405380249023	4.48967375037414e-06	0.0002670623145400594
PEG3	1.2931848764419556	4.48967375037414e-06	0.0002670623145400594
ACACA	1.2907464504241943	4.48967375037414e-06	0.0002670623145400594
ZNF544	1.2894728183746338	4.48967375037414e-06	0.0002670623145400594
CGI-115	1.2815965414047241	5.98623166716552e-06	0.0003519061583577713
FLJ10661	1.280100703239441	5.98623166716552e-06	0.0003519061583577713
SDAD1	1.2786948680877686	5.98623166716552e-06	0.0003519061583577713
PWP2H	1.2766132354736328	5.98623166716552e-06	0.0003519061583577713
ZNF692	1.2718582153320312	6.485084306095979e-06	0.0003801169590643275
C5ORF26	1.2714598178863525	6.983936945026439e-06	0.00040114613180515757
MLH3	1.2704945802688599	6.983936945026439e-06	0.00040114613180515757
LOC286208	1.2662794589996338	6.983936945026439e-06	0.00040114613180515757
REXO2	1.266027808189392	6.983936945026439e-06	0.00040114613180515757
PPIF	1.2659454345703125	6.983936945026439e-06	0.00040114613180515757
THAP4	1.2655911445617676	6.983936945026439e-06	0.00040114613180515757
NOB1	1.2621996402740479	6.983936945026439e-06	0.00040114613180515757
THADA	1.2603744268417358	7.482789583956899e-06	0.00042857142857142855
LAP3	1.2595796585083008	7.981642222887359e-06	0.0004481792717086835
ZC3HC1	1.256245732307434	7.981642222887359e-06	0.0004481792717086835
DDR2	1.2546404600143433	7.981642222887359e-06	0.0004481792717086835
CD97	1.2538630962371826	7.981642222887359e-06	0.0004481792717086835
PRPS1	1.2535104751586914	7.981642222887359e-06	0.0004481792717086835
VPRBP	1.2531112432479858	7.981642222887359e-06	0.0004481792717086835
NOL8	1.2529767751693726	7.981642222887359e-06	0.0004481792717086835
ARD1A	1.2515287399291992	8.480494861817819e-06	0.00047486033519553075
SUPT16H	1.2510298490524292	9.478200139678738e-06	0.0005080213903743315
MDS032	1.2479628324508667	9.478200139678738e-06	0.0005080213903743315
GTF3C2	1.247318983078003	9.478200139678738e-06	0.0005080213903743315
SSSCA1	1.2457470893859863	9.478200139678738e-06	0.0005080213903743315
NKIRAS1	1.2451223134994507	9.478200139678738e-06	0.0005080213903743315
LTV1	1.2449004650115967	9.478200139678738e-06	0.0005080213903743315
PRPF31	1.2448375225067139	9.478200139678738e-06	0.0005080213903743315
CCNB1IP1	1.24443781375885	9.478200139678738e-06	0.0005080213903743315
POLR3E	1.2390469312667847	9.478200139678738e-06	0.0005080213903743315
CYB5D1	1.238646388053894	9.478200139678738e-06	0.0005080213903743315
RCN1	1.2380164861679077	9.478200139678738e-06	0.0005080213903743315
C12ORF43	1.2354992628097534	9.478200139678738e-06	0.0005080213903743315
ATP6V0E2L	1.2319859266281128	9.478200139678738e-06	0.0005080213903743315
CCT2	1.2319252490997314	9.478200139678738e-06	0.0005080213903743315
ACAT1	1.230770230293274	9.478200139678738e-06	0.0005080213903743315
CD55	1.229413390159607	9.478200139678738e-06	0.0005080213903743315
THNSL1	1.2262945175170898	1.047590541753966e-05	0.0005600000000000001
IL15RA	1.223412275314331	1.0974758056470118e-05	0.000583554376657825
CGREF1	1.2232952117919922	1.0974758056470118e-05	0.000583554376657825
C20ORF116	1.2218115329742432	1.1473610695400579e-05	0.000586734693877551
SF3A3	1.2214645147323608	1.1473610695400579e-05	0.000586734693877551
